date;company;product
2022-11-30;OpenAI;ChatGPT (GPT-3.5 Turbo)
2023-03-14;Anthropic;Claude 1.3
2023-03-14;OpenAI;GPT-4
2023-05-10;Google;PaLM 2
2023-07-11;Anthropic;Claude 2
2023-07-18;Meta;Llama 2 70B
2023-11-21;Anthropic;Claude 2.1
2023-12-07;xAI;Grok-1
2024-01-25;OpenAI;GPT-4 Turbo
2024-02-26;Mistral;Mistral Large
2024-03-04;Anthropic;Claude 3 Haiku
2024-03-04;Anthropic;Claude 3 Sonnet
2024-03-04;Anthropic;Claude 3 Opus
2024-03-28;xAI;Grok-1.5
2024-06-20;Anthropic;Claude 3.5 Sonnet
2024-08-13;xAI;Grok-2
2024-09-12;OpenAI;GPT-o1-preview
2024-10-16;Moonshot AI;Moonshot Kimi
2024-12-26;DeepSeek;DeepSeek-V3
2025-02-24;Anthropic;Claude Sonnet 3.7
2025-05-22;Anthropic;Claude Sonnet 4
