speaker_id;session;speech_id;word;word_n
1433;15/2019;2019_15_208;arvoisa;2
1433;15/2019;2019_15_208;puhemies;2
1433;15/2019;2019_15_208;ensi;1
1433;15/2019;2019_15_208;tuohon;1
1433;15/2019;2019_15_208;edellinen;3
1433;15/2019;2019_15_208;puhuja;1
1433;15/2019;2019_15_208;sanoa;2
1433;15/2019;2019_15_208;että;4
1433;15/2019;2019_15_208;minä;5
1433;15/2019;2019_15_208;tarvita;1
1433;15/2019;2019_15_208;se;14
1433;15/2019;2019_15_208;maakunta;2
1433;15/2019;2019_15_208;sotealue;1
1433;15/2019;2019_15_208;pohja;2
1433;15/2019;2019_15_208;aloittaa;4
1433;15/2019;2019_15_208;tämä;13
1433;15/2019;2019_15_208;olla;19
1433;15/2019;2019_15_208;erittäin;4
1433;15/2019;2019_15_208;hieno;1
1433;15/2019;2019_15_208;eduskuntaura;1
1433;15/2019;2019_15_208;puhe;1
1433;15/2019;2019_15_208;täältä;1
1433;15/2019;2019_15_208;puhujapönttö;1
1433;15/2019;2019_15_208;ja;26
1433;15/2019;2019_15_208;keskustella;1
1433;15/2019;2019_15_208;ennen;1
1433;15/2019;2019_15_208;kaikki;4
1433;15/2019;2019_15_208;juuri;2
1433;15/2019;2019_15_208;kyseinen;1
1433;15/2019;2019_15_208;hallitusohjelma;6
1433;15/2019;2019_15_208;saada;5
1433;15/2019;2019_15_208;itse;1
1433;15/2019;2019_15_208;neuvottelija;1
1433;15/2019;2019_15_208;siellä;2
1433;15/2019;2019_15_208;elinvoimainen;1
1433;15/2019;2019_15_208;suomi;4
1433;15/2019;2019_15_208;pöytä;5
1433;15/2019;2019_15_208;kohdistua;1
1433;15/2019;2019_15_208;varmasti;2
1433;15/2019;2019_15_208;valtavasti;1
1433;15/2019;2019_15_208;odotusarvo;2
1433;15/2019;2019_15_208;voida;2
1433;15/2019;2019_15_208;kyllä;1
1433;15/2019;2019_15_208;täyttää;1
1433;15/2019;2019_15_208;varmaan;2
1433;15/2019;2019_15_208;mikä;4
1433;15/2019;2019_15_208;haluta;2
1433;15/2019;2019_15_208;yksi;3
1433;15/2019;2019_15_208;tärkeä;3
1433;15/2019;2019_15_208;tehtävä;1
1433;15/2019;2019_15_208;tehdä;4
1433;15/2019;2019_15_208;uusi;5
1433;15/2019;2019_15_208;työpaikka;1
1433;15/2019;2019_15_208;ohjelma;2
1433;15/2019;2019_15_208;mieli;1
1433;15/2019;2019_15_208;onnistunut;1
1433;15/2019;2019_15_208;kompromissi;2
1433;15/2019;2019_15_208;huomioida;4
1433;15/2019;2019_15_208;tavallinen;1
1433;15/2019;2019_15_208;pienituloinen;2
1433;15/2019;2019_15_208;ihminen;1
1433;15/2019;2019_15_208;palkansaaja;1
1433;15/2019;2019_15_208;yrittäjä;10
1433;15/2019;2019_15_208;koko;2
1433;15/2019;2019_15_208;tasapuolinen;1
1433;15/2019;2019_15_208;aluekehitys;1
1433;15/2019;2019_15_208;muuten;1
1433;15/2019;2019_15_208;iso;1
1433;15/2019;2019_15_208;osa;1
